name,N,H,W,Cin,Kh,Kw,Cout,strideH,strideW,dilationH,dilationW,padTop,padBottom,padLeft,padRight,Hout,Wout,predicted_tiles,measured_tiles,max_error_ulp,result
conv_sweep_001,1,10,10,1,5,5,1,1,1,2,1,0,0,0,0,2,6,21,,2.0,PASS
conv_sweep_002,1,8,8,1,3,5,1,1,2,2,1,1,1,1,1,6,3,20,,2.0,PASS
conv_sweep_003,1,8,8,3,5,5,8,1,1,1,1,1,1,1,1,6,6,342,,369.0,FAIL
conv_sweep_004,2,10,10,8,3,3,16,1,1,1,1,1,1,1,1,10,10,3600,,6096.0,FAIL
conv_sweep_005,2,10,10,3,3,5,8,1,1,2,1,0,0,0,0,6,6,432,,219.0,FAIL
conv_sweep_006,1,10,10,3,3,3,8,1,1,2,1,1,1,1,1,8,10,280,,133.0,FAIL
conv_sweep_007,2,8,8,8,5,5,16,1,1,2,1,1,1,1,1,2,6,1200,,541.0,FAIL
conv_sweep_008,2,8,8,3,3,3,8,1,2,2,1,1,1,1,1,6,4,168,,1302.0,FAIL
conv_sweep_009,1,8,8,3,3,5,8,1,2,2,1,1,1,1,1,6,3,120,,58.0,PASS
conv_sweep_010,1,10,10,1,1,1,1,1,2,2,1,0,0,0,0,10,5,13,,0.0,PASS
conv_sweep_011,2,10,10,8,3,5,16,2,2,1,1,0,0,0,0,4,3,720,,208.0,FAIL
conv_sweep_012,2,10,10,3,3,3,8,2,2,2,1,0,0,0,0,3,4,84,,193.0,FAIL
conv_sweep_013,1,10,10,3,3,5,8,2,2,1,1,0,0,0,0,4,3,72,,39.0,PASS
conv_sweep_014,2,10,10,1,3,5,1,1,1,2,1,1,1,1,1,8,8,128,,365.0,FAIL
conv_sweep_015,2,8,8,3,1,1,8,1,1,1,1,0,0,0,0,8,8,64,,88.0,PASS
conv_sweep_016,2,10,10,1,3,5,1,1,2,1,1,0,0,0,0,8,3,48,,27.0,PASS
conv_sweep_017,1,10,10,8,3,5,16,1,2,1,1,1,1,1,1,10,4,1200,,2415.0,FAIL
conv_sweep_018,2,10,10,3,3,5,8,1,2,1,1,1,1,1,1,10,4,480,,231.0,FAIL
conv_sweep_019,2,8,8,3,1,1,8,1,2,2,1,1,1,1,1,10,5,50,,17.0,PASS
conv_sweep_020,1,8,8,8,3,3,16,2,2,2,1,0,0,0,0,2,3,144,,999.0,FAIL
conv_sweep_021,2,10,10,1,3,3,1,2,2,2,1,0,0,0,0,3,4,18,,43.0,PASS
conv_sweep_022,1,8,8,1,3,3,1,1,2,1,1,0,0,0,0,6,3,15,,27.0,PASS
conv_sweep_023,1,10,10,1,3,3,1,2,2,2,1,0,0,0,0,3,4,9,,3.0,PASS
conv_sweep_024,2,10,10,8,5,5,16,1,1,1,1,1,1,1,1,8,8,6400,,3202.0,FAIL
conv_sweep_025,2,10,10,1,5,5,1,2,2,2,1,1,1,1,1,2,4,28,,10.0,PASS
conv_sweep_026,2,8,8,3,3,3,8,2,2,1,1,1,1,1,1,4,4,112,,517.0,FAIL
conv_sweep_027,2,8,8,1,1,1,1,2,2,1,1,0,0,0,0,4,4,8,,0.0,PASS
conv_sweep_028,1,8,8,1,3,3,1,1,1,1,1,1,1,1,1,8,8,48,,97.0,PASS
conv_sweep_029,1,8,8,8,5,5,16,1,2,1,1,1,1,1,1,6,3,1000,,8718.0,FAIL
conv_sweep_030,1,10,10,8,5,5,16,1,1,1,1,1,1,1,1,8,8,3200,,3683.0,FAIL
conv_sweep_031,2,8,8,3,3,5,8,1,1,1,1,1,1,1,1,8,6,576,,885.0,FAIL
conv_sweep_032,1,10,10,8,3,5,16,1,1,1,1,0,0,0,0,8,6,1440,,230923.0,FAIL
conv_sweep_033,2,8,8,1,3,5,1,1,2,1,1,0,0,0,0,6,2,24,,97.0,PASS
conv_sweep_034,1,10,10,8,1,1,16,1,2,1,1,1,1,1,1,12,6,144,,209.0,FAIL
conv_sweep_035,1,10,10,1,3,3,1,1,1,2,1,0,0,0,0,6,8,36,,20.0,PASS
conv_sweep_036,2,10,10,3,3,3,8,2,2,1,1,1,1,1,1,5,5,182,,745.0,FAIL
conv_sweep_037,2,10,10,3,3,5,8,1,1,1,1,1,1,1,1,10,8,960,,933.0,FAIL
conv_sweep_038,2,10,10,8,1,1,16,2,2,1,1,1,1,1,1,6,6,144,,244.0,FAIL
conv_sweep_039,1,10,10,3,5,5,8,2,2,1,1,1,1,1,1,4,4,152,,248.0,FAIL
conv_sweep_040,2,8,8,3,3,5,8,1,1,1,1,0,0,0,0,6,4,288,,199.0,FAIL
conv_sweep_041,2,8,8,1,3,3,1,1,1,2,1,0,0,0,0,4,6,36,,164.0,FAIL
conv_sweep_042,2,10,10,8,3,3,16,1,2,1,1,0,0,0,0,8,4,1152,,5119.0,FAIL
conv_sweep_043,1,10,10,3,5,5,8,2,2,2,1,0,0,0,0,1,3,38,,33.0,PASS
conv_sweep_044,1,8,8,1,3,3,1,1,2,2,1,1,1,1,1,6,4,18,,2.0,PASS
conv_sweep_045,1,10,10,1,3,3,1,1,2,2,1,0,0,0,0,6,4,18,,58.0,PASS
conv_sweep_046,2,8,8,3,1,1,8,2,2,2,1,0,0,0,0,4,4,16,,33.0,PASS
conv_sweep_047,2,8,8,8,3,3,16,1,2,2,1,0,0,0,0,4,3,432,,103.0,FAIL
conv_sweep_048,2,10,10,8,3,5,16,1,1,1,1,1,1,1,1,10,8,4800,,1493.0,FAIL
